ID,Componente,Categoria STRIDE,Descrição da Ameaça,Probabilidade PRÉ,Impacto PRÉ,Risco PRÉ,Medida de Mitigação,Probabilidade PÓS,Impacto PÓS,Risco PÓS,Redução %,Status
01,Frontend → MCP,Spoofing,Requisições não autenticadas - qualquer cliente pode enviar requisições ao MCP Solicitador sem validação de identidade,Alta (15),Alto (15),225,Gateway implementa autenticação JWT obrigatória com tokens de expiração curta (15 min) e refresh tokens seguros,Baixa (5),Baixa (5),25,89%,MITIGADA
02,Frontend → MCP,Denial of Service,Ataques de sobrecarga sem limitação de requisições - ausência de rate limiting permite flooding,Alta (15),Alto (15),225,Rate limiting por IP/usuário (100 req/min para autenticados e 20 req/min para não autenticados),Baixa (5),Média (10),50,78%,MITIGADA
03,Frontend → MCP,Tampering,Injeção de prompts maliciosos - requisições não validadas chegam diretamente à IA permitindo manipulação de comportamento,Alta (15),Média (10),150,Validação de schema (JSON Schema) e sanitização de inputs no gateway com whitelist de caracteres permitidos,Baixa (5),Média (10),50,67%,MITIGADA
04,Frontend → MCP,Information Disclosure,Exposição de APIs internas - arquitetura interna e endpoints dos MCPs visíveis ao frontend e potencialmente a atacantes,Alta (15),Média (10),150,Gateway abstrai arquitetura interna com endpoints unificados (/api/v1/*). Serviços internos não são expostos,Baixa (5),Baixa (5),25,83%,MITIGADA
05,MCP Solicitador,Repudiation,Falta de rastreabilidade - impossível auditar ações de usuários requisições e decisões do sistema,Alta (15),Média (10),150,Logging centralizado com User ID timestamp (ISO 8601) IP origem endpoint acessado payload hash response status. Logs imutáveis com retenção de 90 dias,Baixa (5),Baixa (5),25,83%,MITIGADA
06,Frontend → MCP,Elevation of Privilege,Acesso não autorizado - sem controle de permissões por funcionalidade todos os usuários têm acesso total,Média (10),Alto (15),150,Autorização baseada em roles (RBAC) com 3 níveis: viewer (leitura) user (uso padrão) admin (configuração),Baixa (5),Baixa (5),25,83%,MITIGADA
07,Comunicação,Tampering,Interceptação Man-in-the-Middle - comunicação HTTP sem criptografia permite interceptação e modificação de tráfego,Média (10),Alto (15),150,Gateway requer HTTPS/TLS 1.3 obrigatório com certificados válidos e HSTS habilitado,Baixa (5),Baixa (5),25,83%,MITIGADA
08,Frontend,Information Disclosure,Exposição de chaves de API - credenciais de IA externa e serviços armazenadas no código cliente,Média (10),Alto (15),150,Gateway gerencia todas as credenciais. Frontend não possui acesso a segredos. Variáveis sensíveis em secrets management (Docker Secrets ou Vault),Baixa (5),Baixa (5),25,83%,MITIGADA
09,PMC MCP,Denial of Service,Sobrecarga dos serviços MCP - requisições complexas sem limite de processamento podem esgotar recursos,Média (10),Média (10),100,Gateway limita payload size (max 10MB) e timeout de requisições (30s). Implementa circuit breaker para proteger serviços downstream,Baixa (5),Baixa (5),25,75%,MITIGADA
10,Frontend,Spoofing,CSRF (Cross-Site Request Forgery) - sem proteção contra requisições forjadas de sites maliciosos,Média (10),Média (10),100,Gateway valida origem (CORS estrito) e tokens CSRF em todas as requisições state-changing,Baixa (5),Baixa (5),25,75%,MITIGADA
11,IA Local,Information Disclosure,Jailbreaking - técnicas de prompt injection para extrair informações do sistema prompt ou da base de conhecimento,Média (10),Média (10),100,Gateway implementa filtros de prompt injection com sistema de detecção de padrões maliciosos e rate limiting específico para IA (5 req/min),Baixa (5),Média (10),50,50%,PARCIAL
12,Comunicação,Information Disclosure,Vazamento de dados sensíveis - comunicação em texto plano expõe dados de usuários e conteúdo de requisições,Média (10),Média (10),100,HTTPS/TLS obrigatório em todas as comunicações. Dados sensíveis criptografados em trânsito e em repouso,Baixa (5),Baixa (5),25,75%,MITIGADA
13,MCP Solicitador,Information Disclosure,Exposição da lógica interna - detalhes de implementação e configuração visíveis através de mensagens de erro,Média (10),Média (10),100,Gateway trata erros genericamente. Mensagens de erro não expõem stack traces ou detalhes de implementação,Baixa (5),Baixa (5),25,75%,MITIGADA
14,IA Local,Elevation of Privilege,Escape de container - acesso ao contêiner Docker para executar comandos no sistema host,Baixa (5),Alto (15),75,Containers executados como usuário não-root. Docker com --security-opt=no-new-privileges --cap-drop=ALL e volumes read-only quando possível,Baixa (5),Baixa (5),25,67%,MITIGADA
15,MCP Solicitador,Elevation of Privilege,Falhas de autorização - obter acesso a funcionalidades administrativas através de falhas na API,Baixa (5),Alto (15),75,Gateway valida permissões antes de encaminhar requisições. Princípio de least privilege. Endpoints administrativos requerem 2FA,Baixa (5),Baixa (5),25,67%,MITIGADA
16,Frontend,Tampering,Cross-Site Scripting (XSS) - injeção de scripts maliciosos para alterar conteúdo da página,Média (10),Baixa (5),50,Frontend implementa Content Security Policy (CSP) e sanitização de outputs. Gateway adiciona headers de segurança,Baixa (5),Baixa (5),25,50%,MITIGADA
17,IA Local,Tampering,Envenenamento do modelo - modificação não autorizada dos modelos de IA ou da base de conhecimento,Baixa (5),Média (10),50,Modelos assinados digitalmente. Validação de hash antes de carregamento. Backup periódico de modelos,Baixa (5),Baixa (5),25,50%,MITIGADA
18,Comunicação,Denial of Service,Interrupção da comunicação - falhas de rede ou ataques específicos que quebram a comunicação entre serviços,Baixa (5),Média (10),50,Implementação de retry logic com exponential backoff. Health checks periódicos dos serviços,Baixa (5),Baixa (5),25,50%,MITIGADA
19,Browser Use MCP,Information Disclosure,Exposição de sessões - cookies e tokens de sessão da automação web expostos em logs ou memória,Baixa (5),Média (10),50,Sessões de automação isoladas. Cookies e tokens armazenados em memória efêmera. Limpeza automática após uso,Baixa (5),Baixa (5),25,50%,MITIGADA
20,Ambiente Docker,Elevation of Privilege,Permissões excessivas - containers executados como root com acesso privilegiado ao host,Baixa (5),Média (10),50,Imagens base verificadas e assinadas. Scan de vulnerabilidades automatizado (Trivy). Princípio de least privilege em volumes e redes,Baixa (5),Baixa (5),25,50%,MITIGADA
